feature,ctrl_n,pd_n,ctrl_mean,ctrl_std,ctrl_median,pd_mean,pd_std,pd_median,cohens_d,effect_size,mw_p,significant,sig_stars
hold_std,97,301,38.035360977725595,16.254218278201705,37.41813369210848,45.575409577241956,20.110107389361048,43.122921900495655,0.39176380891174933,small,0.0028178985781358683,True,**
active_kpm_mean,97,301,123.93311629476385,37.76492540045098,130.0712712960769,111.94173043765525,34.44109198699189,113.71808091940233,-0.3399338931331838,small,0.002827254462119187,True,**
hold_mean,97,301,110.3722753328907,24.13353977669535,107.73388176415364,120.58246274471972,32.1672588340158,113.942149420695,0.3356938530856732,small,0.008098183393045294,True,**
long_gap_rate,97,301,0.07198985542645704,0.06422308329026637,0.0416922133660331,0.06563866980633376,0.04139247176361529,0.0523809523809523,-0.13249226421339874,negligible,0.04104737090830652,True,*
active_kpm_std,97,301,35.75423836190581,16.523420449074084,36.33520626517348,34.35625683233286,15.293765635755152,32.79475476324379,-0.08960979844086847,negligible,0.241093311727284,False,ns
flt_mean,97,301,205.02908154625248,69.30526010957793,188.8711209006365,213.62431759288424,71.56302654421792,193.2198280643372,0.12102168518329573,negligible,0.2865705881509384,False,ns
burst_count,97,301,204.34639175257726,333.1568565324044,62.0,195.0817275747508,297.0979780560707,72.0,-0.030253973097915804,negligible,0.3998241110452063,False,ns
flt_std,97,301,119.82736546001621,31.509912969158,122.28440220379557,121.37465235475095,28.72448543542513,115.17978190668684,0.0525859432048431,negligible,0.48342273840410355,False,ns
active_minutes,97,301,128.94106045360815,198.5914542161941,50.655600000000014,129.83904121816167,191.21499811755567,53.87473333333331,0.004652048256432611,negligible,0.5760077390650696,False,ns
lat_std,97,301,120.68295284436759,32.36974963949859,121.34496814728178,120.98654470201025,32.02903115393446,108.60674901038875,0.009454167327014809,negligible,0.6143231965369815,False,ns
lat_mean,97,301,291.3105548176719,86.26868098688075,275.70672467606187,298.1360075958776,92.3292869032603,278.536694170524,0.07508983244680698,negligible,0.6570199943185532,False,ns
n_keys,97,301,22438.421546391743,31764.8341870782,9429.0,20889.364883720926,29473.12063523138,9040.0,-0.051558325137634045,negligible,0.9898778193417019,False,ns
flt_neg_rate,97,301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,negligible,1.0,False,ns
