Model,AUC,BalancedAcc,Sensitivity,Specificity,F1,TP,TN,FP,FN
SVM,0.563,0.5,1.0,0.0,0.8516,109,0,38,0
RF,0.5062,0.5034,0.9541,0.0526,0.8353,104,2,36,5
MLP,0.4194,0.4529,0.8532,0.0526,0.7815,93,2,36,16
Ensemble,0.4235,0.5,1.0,0.0,0.8516,109,0,38,0
